SAMPLE,cp/ul,Log RNA,CT Value
A,1.00E+05,5,23.66
B,1.00E+04,4,26.98
C,1.00E+03,3,30.50
D,1.00E+02,2,33.94
E,1.00E+01,1,37.19
F,1.00E+00,0,40.00
H,1.00E-01,-1,(-)
