SAMPLE,cp/μL,Log RNA,CT Value
A,1.00E+05,5,23.02
B,1.00E+04,4,26.62
C,1.00E+03,3,30.05
D,1.00E+02,2,33.49
E,1.00E+01,1,36.41
F,1.00E+00,0,39.59
H,1.00E-01,-1,(-)
