Test,Time ,absorb
1,0,0
1,10,0
1,20,0
1,30,0
1,40,0
1,50,0
1,60,0
1,70,0
1,80,0
1,90,0
1,100,0
1,110,0
1,120,0
2,0,0.001
2,10,0.001
2,20,0.001
2,30,0.002
2,40,0.002
2,50,0.002
2,60,0.002
2,70,0.002
2,80,0.002
2,90,0.003
2,100,0.003
2,110,0.003
2,120,0.003
3,0,0.009
3,10,0.009
3,20,0.009
3,30,0.01
3,40,0.01
3,50,0.01
3,60,0.011
3,70,0.011
3,80,0.012
3,90,0.012
3,100,0.012
3,110,0.013
3,120,0.013
