Test,Time ,absorb
1,0,0
1,10,0
1,20,0
1,30,0
1,40,0
1,50,0
1,60,0
1,70,0
1,80,0
1,90,0
1,100,0
1,110,0
1,120,0
2,0,0.02
2,10,0.025
2,20,0.027
2,30,0.031
2,40,0.034
2,50,0.037
2,60,0.04
2,70,0.044
2,80,0.047
2,90,0.05
2,100,0.054
2,110,0.057
2,120,0.06
3,0,0.012
3,10,0.014
3,20,0.019
3,30,0.023
3,40,0.028
3,50,0.032
3,60,0.036
3,70,0.041
3,80,0.045
3,90,0.05
3,100,0.054
3,110,0.058
3,120,0.063
